llama-3
Gemma
LightGlue
HomeCredit: models (public)
Aliked
Gemma
mistral
codegemma
Dino v2
mixtral
DistilBERT AMAZON Review (Positive - Negative)
llama-2
EfficientNetV2
Museum Artifacts
MindGemmap
PaLIGemma
DeBERTaV3
hms 3rd place weights
U2-Net Portrait Background Remover
Convolutional Neural Network
PII Data Detection Deberta V3 Large
MutiModal-VIT
yolov9e
hallucination_evaluation_model
EfficientNet
phi2-public-data-sft-adapter
Naive Bayes Play-Badminton Prediction
CCC-BERT
Diabetes_Model
bert
LoFTR
DISK
DistilBERT
detect-ai-gpt2
mobilenet_v2
Phi
YOLOV8
BirdCLEF 2024 - ResNet18
gemma
Llama 2
bird-vocalization-classifier
movenet
maxim
c4ai-command-r-v01
yolov9e-seg
Sales Prediction Model
Bird_Sound_Classifier_Model
LLM Detect Deberta XLarge
Early Detection of Theft Attempts
Gemini 1.5 Pro API
resnet_50
universal-sentence-encoder
MMOS
deepseek-math qlora
deepseek-math-7b-rl
DeDoDe
mbart_bn_error_correction
vision_transformer
Earthquake
salarysheet~info
yolov9c-seg
PyGEM: Using Google's Gemma for a Python Chatbot
Vine diseases classificator
mivolo_imdb
Segment Anything
Pokemon Gen 1 Recognition
Salarysheet
WizardMath-7B
Forest fire
ResNetV2
bart-fine-tuned
efficientnet_v2
resnet_v2
RecurrentGemma
bandmodels_viz
Electrical Circuit Faster-RCNN
yolo-v5
AES-baseline-deberta-v3-base
Stable Diffusion v2
biggan
yolov9c
flan-t5
llava-phi-3-mini-4k-instruct
Stable Diffusion XL
BERT
essay detection
ssd_mobilenet_v1
Bert-Model
sentence-t5
predictions
mobilenet_v3
ALIKED
swin
GNN-chem
formula-cnn
Gemma KaggleQA ReAct
digit Recognizer
GPT-2
CodeLlama
llama-2 · 13b-chat-hf · QLoRA · Prompt-Recovery
birdnet-analyzer
Rock Paper Scissors Model Classification
disk
lightglue
deepseek-math
PtteM Text Analytics
ResNetV1
CodeGemma
MMOS-DeepSeek-Math-RL
gemma
Peft wheel
experts/bert
PROJETO LILITI STK I.A
inception_v3
LEOID
efficientnet
Simple Transfer TTS
Mistral-7b-instruct
starcoder2
compare_gan
swsl_resnext50_32x4d
DenseNet
kookaon
MSI-Net
universal-sentence-encoder
House Price
deit
Bert
bert_preprocessor
bert_encoder
yamnet
Facial Emotion Recognition Model
roma
dinv2_pretrain
Pepper Bell Disease Classification Model
plant-diseases-detection-dataset
faster_rcnn/inception_resnet_v2
ASL Alphabet CNN Model
Gemini API
mobilebert
densenet
movinet
LLaVA-Next
hms_multi_modals
gemma_prompt_recovery
arbitrary-image-stylization-v1
blazeface
esrgan-tf2
bandmodels_prons
deeplabv3
MusicGen
deeplabv3-xception65
deberta-sentence-transformers
llama3-hawkish-dovish
RoBERTa
Glow conditioned epoch10
convnext
SeResnext50_rakuten
bit
MobileNetV3
deberta-for-ai-text-detection
Gemma-finetuned-gsm8k
Classifier-MNIST
cartoongan
TinyLLaVA-2.0B
Titanic Suvival Predictions
rubert-large-nerel
llama-2-7b-chat
keras-ocr
openibl
mobilenet_v1
DIM-weights
OPT
dsi-coder
Transformer Subject wise
efficientdet
BrightAI
V2 Cat Model
Pretrained_gpt2
DeepLabV3Plus
FER model
HMS-2nd-place-solution
phi-2-prompt-recovery
gemma
mobilenetv2
Resnet34D_hmsBrain_5E_512I
vgg19-unpooling-encoder-decoder
INprak
east-text-detector
mobilevit
vgg16_imagenette
bandmodels_allchans
HelpingAI-3B
landmarks
distilbert
models
gemma-2b-peft
Influenza Hemagglutinin
MathLLM
NotAiLOL/Boundary-4x7b-MoE
hrnet
VideoSwin
Beyond_MNIST
vicuna
nnlm
faster_rcnn/inception_resnet_v2
Soldier Race
Generator
deepseek-math-rl-v2
TinyLLaVA
convnextv2-tiny-1k-224-finetuned-birdclef-2024
test3
gamma_models
blazeface
3-MODELS
Fracture-multi-region acc_1.0000 val_acc_0.9885
BART
ssd_mobilenet_v2
gan 11 classes
deepseek_quant_4bits_finetuned
Mistral
Phi-3-mini-128k-instruct
TinyLLaVA-3.1B
Graduation Project UNET
v2efficientnet
rubert-tiny-nerel
Random_Forest
bert
FlauBERT_RAKUTEN
Predictive Model for Bank Customer Churn Analysis
aiy
toxicity
wav2vec2
midas
DIS
Qwen
MAmmoTH2
Detect AI Text DeBERTa-v3-large
Unified Multi-Attribute Classifier
centernet/hourglass
elmo
arbitrary-image-stylization-inceptionv3
RetinaNet
Qwen 1.5 32B q4_0
miniLM_Paraphraser
cropnet
MuRIL
Mix_Miner
FaceNet-Keras
phi-3-mini
deepseek_7b_quant4_finetuned
Transformer_10Subs
albert
inception_resnet_v2
efficientnet
spice
deberta_base
text to video
Camembert_rakuten
Seresnext50
disease-classification
deep-image-matching-dev
yolo-cppe5
BertDetectorAiEssay
model88
mobilenet_v1
resnet50_weights.h5
progan-128
deeplabv3-mobilenetv3
internlm2
GAT
bert_model_teacher_2__qqp__12__768__12__20_07_31
bert_model_student__qqp__4__312__4__22_38_11
bert_model_student__qqp__4__312__12__23_55_00
convmixer
Pneumonia Model
american-sign-language
n1
Road segmentation
ALBERT
best_boosted
spam-detection
Serminar khoa học
frozen_east_text_detection
pygemma-2b
MiT
dolphin-2.8-mistral-7b-v02
kk
facemesh
mil-nce
Densenet169 on Mura(shoulder bones only)
vgg19_pretrained
squeezenet
sentence_transformer
resnet50
MLT_model
MathGenie-InterLM-20B
openchat 7b 8quantized pretrained
GemmaScience
musiq
wiki40b-lm
nasnet
llama2epoch
bert_news
HomeCredit default risk forecast(LightGBM/LR)
plate
platedetector
xlm_roberta
XLM-RoBERTa
xcit
Titanic Survival Prediction
video_swin_transformer
google-bert
BirdCLEF2024
Bird-Clef
CodeLlama
Resnet50
MetaMath
Model Weight
VQ-VAE for cat and dog sounds
Alpaca
CLIP
Lane Detection
Malaria Model
blazepose_3d
vggish
plant-disease
LLM Detect - Roberta Large
Wiki-words
electra
Heart Attack Prediction with 88.5% Accuracy
ChatGLM2
vgg16
mlp-mixer
Roberta-Sarcasm-Detection
path_vallah_kriese
4 Corner 1 Class
FinBERT
Turkish-T5
NFRD
pii_phi
question answering
emotion recognition
VitDet
Lane Detection (ENET)
placement_prediction
path_pred
LaBSE
inception
OpenHermes-2.5-Mistral-7B
Hand Gestures
speech-commands
RiceLeafVitDetection
Japanese StableLM
weights 4quantized openchat model
Gemma-2B Fine Tuned with LoRA
AI4Code
Xception_severity
simsiam
mirnet
